type;title;code;description;vars;rounds;comment
attack;Code Freeze;"while (turns < 2) {<br>&nbsp;&nbsp;freezeAllVars();<br>}";Blocks all vars for <br>2 turns.;"&#10063;&#10063;";"&#9844;";"<div style='margin-top: -20px'>Coffee break!</div>"
attack;Code Freeze;"while (turns < 2) {<br>&nbsp;&nbsp;freezeAllVars();<br>}";Blocks all vars for <br>2 turns.;"&#10063;&#10063;";"&#9844;";"<div style='margin-top: -20px'>Coffee break!</div>"
attack;Code Freeze;"while (turns < 2) {<br>&nbsp;&nbsp;freezeAllVars();<br>}";Blocks all vars for <br>2 turns.;"&#10063;&#10063;";"&#9844;";"<div style='margin-top: -20px'>Coffee break!</div>"
attack;Var Freeze;"while (turns < 2) {<br>&nbsp;&nbsp;freezeOneVar();<br>}";Blocks 1 var for <br>2 turns.;"&#10063;";"&#9844;";"<div style='margin-top: -20px'>Are you still using CVS?</div>"
attack;Var Freeze;"while (turns < 2) {<br>&nbsp;&nbsp;freezeOneVar();<br>}";Blocks 1 var for <br>2 turns.;"&#10063;";"&#9844;";"<div style='margin-top: -20px'>Are you still using CVS?</div>"
attack;Var Freeze;"while (turns < 2) {<br>&nbsp;&nbsp;freezeOneVar();<br>}";Blocks 1 var for <br>2 turns.;"&#10063;";"&#9844;";"<div style='margin-top: -20px'>Are you still using CVS?</div>"
attack;Legacy code;;"<div style='margin-top: -30px'>Only allows play <br>+/-1 or +/-2 values on your vars.</div>";"&#10063;&#10063;";"&#9850;";"Take your time to enjoy the moment :)"
attack;Legacy code;;"<div style='margin-top: -30px'>Only allows play <br>+/-1 or +/-2 values on your vars.</div>";"&#10063;&#10063;";"&#9850;";"Take your time to enjoy the moment :)"
attack;Legacy code;;"<div style='margin-top: -30px'>Only allows play <br>+/-1 or +/-2 values on your vars.</div>";"&#10063;&#10063;";"&#9850;";"Take your time to enjoy the moment :)"
attack;Legacy code;;"<div style='margin-top: -30px'>Only allows play <br>+/-1 or +/-2 values on your vars.</div>";"&#10063;&#10063;";"&#9850;";"Take your time to enjoy the moment :)"
attack;Legacy code;;"<div style='margin-top: -30px'>Only allows play <br>+/-1 or +/-2 values on your vars.</div>";"&#10063;&#10063;";"&#9850;";"Take your time to enjoy the moment :)"
attack;Legacy code;;"<div style='margin-top: -30px'>Only allows play <br>+/-1 or +/-2 values on your vars.</div>";"&#10063;&#10063;";"&#9850;";"Take your time to enjoy the moment :)"
attack;Condition;"if (varA &lt; varB) {<br>&nbsp;&nbsp;cancelCard();<br>}";"Forbids any card that <br>is not helping to fix this.";"&#10063;&#10063;";"&#9850;";
attack;Condition;"if (varA &lt; varB) {<br>&nbsp;&nbsp;cancelCard();<br>}";"Forbids any card that <br>is not helping to fix this.";"&#10063;&#10063;";"&#9850;";
attack;Condition;"if (varA &lt; varB) {<br>&nbsp;&nbsp;cancelCard();<br>}";"Forbids any card that <br>is not helping to fix this.";"&#10063;&#10063;";"&#9850;";
attack;Condition;"if (varB &lt; varA) {<br>&nbsp;&nbsp;cancelCard();<br>}";"Forbids any card that <br>is not helping to fix this.";"&#10063;&#10063;";"&#9850;";
attack;Condition;"if (varB &lt; varA) {<br>&nbsp;&nbsp;cancelCard();<br>}";"Forbids any card that <br>is not helping to fix this.";"&#10063;&#10063;";"&#9850;";
attack;Condition;"if (varB &lt; varA) {<br>&nbsp;&nbsp;cancelCard();<br>}";"Forbids any card that <br>is not helping to fix this.";"&#10063;&#10063;";"&#9850;";
attack;Memory Leak;"if (var % 3 == 0) {<br>&nbsp;&nbsp;var = 0;<br>}";Reset to 0 the var if its values is a multiple of 3.;"&#10063;";"&#9850;";
attack;Memory Leak;"if (var % 3 == 0) {<br>&nbsp;&nbsp;var = 0;<br>}";Reset to 0 the var if its values is a multiple of 3.;"&#10063;";"&#9850;";
attack;Deadline;;"Remove a Test Harness<br>&nbsp;";"&#10063;";;"Just do it quick & dirty"
attack;Deadline;;"Remove a Test Harness<br>&nbsp;";"&#10063;";;"Just do it quick & dirty"
defense;Rollback;;Remove last card put on the selected game.;;;"We know, we know, life is unfair, thanks Calimero!"
defense;Rollback;;Remove last card put on the selected game.;;;"We know, we know, life is unfair, thanks Calimero!"
defense;Rollback;;Remove last card put on the selected game.;;;"We know, we know, life is unfair, thanks Calimero!"
