type;title;code;description;vars;rounds;comment
attack;代码冻结;"while (turns < 2) {<br>&nbsp;&nbsp;freezeAllVars();<br>}";冻结所有变量 <br>2 轮。;"&#10063;&#10063;";"&#9844;";"<div style='margin-top: -20px'>茶歇时间！</div>"
attack;代码冻结;"while (turns < 2) {<br>&nbsp;&nbsp;freezeAllVars();<br>}";冻结所有变量 <br>2 轮。;"&#10063;&#10063;";"&#9844;";"<div style='margin-top: -20px'>茶歇时间！</div>"
attack;代码冻结;"while (turns < 2) {<br>&nbsp;&nbsp;freezeAllVars();<br>}";冻结所有变量 <br>2 轮。;"&#10063;&#10063;";"&#9844;";"<div style='margin-top: -20px'>茶歇时间！</div>"
attack;变量冻结;"while (turns < 2) {<br>&nbsp;&nbsp;freezeOneVar();<br>}";冻结 1 个变量 <br>2 轮。;"&#10063;";"&#9844;";"<div style='margin-top: -20px'>你还在使用 CVS 吗？</div>"
attack;变量冻结;"while (turns < 2) {<br>&nbsp;&nbsp;freezeOneVar();<br>}";冻结 1 个变量 <br>2 轮。;"&#10063;";"&#9844;";"<div style='margin-top: -20px'>你还在使用 CVS 吗？</div>"
attack;变量冻结;"while (turns < 2) {<br>&nbsp;&nbsp;freezeOneVar();<br>}";冻结 1 个变量 <br>2 轮。;"&#10063;";"&#9844;";"<div style='margin-top: -20px'>你还在使用 CVS 吗？</div>"
attack;遗留代码;;"<div style='margin-top: -30px'>只允许对你的变量使用<br> +/-1 或 +/-2 <br>的数值卡牌。</div>";"&#10063;&#10063;";"&#9850;";"腾出时间享受当下 :)"
attack;遗留代码;;"<div style='margin-top: -30px'>只允许对你的变量使用<br> +/-1 或 +/-2 <br>的数值卡牌。</div>";"&#10063;&#10063;";"&#9850;";"腾出时间享受当下 :)"
attack;遗留代码;;"<div style='margin-top: -30px'>只允许对你的变量使用<br> +/-1 或 +/-2 <br>的数值卡牌。</div>";"&#10063;&#10063;";"&#9850;";"腾出时间享受当下 :)"
attack;遗留代码;;"<div style='margin-top: -30px'>只允许对你的变量使用<br> +/-1 或 +/-2 <br>的数值卡牌。</div>";"&#10063;&#10063;";"&#9850;";"腾出时间享受当下 :)"
attack;遗留代码;;"<div style='margin-top: -30px'>只允许对你的变量使用<br> +/-1 或 +/-2 <br>的数值卡牌。</div>";"&#10063;&#10063;";"&#9850;";"腾出时间享受当下 :)"
attack;遗留代码;;"<div style='margin-top: -30px'>只允许对你的变量使用<br> +/-1 或 +/-2 <br>的数值卡牌。</div>";"&#10063;&#10063;";"&#9850;";"腾出时间享受当下 :)"
attack;条件判断;"if (varA &lt; varB) {<br>&nbsp;&nbsp;cancelCard();<br>}";"禁止所有<br>使条件满足的卡牌。";"&#10063;&#10063;";"&#9850;";
attack;条件判断;"if (varA &lt; varB) {<br>&nbsp;&nbsp;cancelCard();<br>}";"禁止所有<br>使条件满足的卡牌。";"&#10063;&#10063;";"&#9850;";
attack;条件判断;"if (varA &lt; varB) {<br>&nbsp;&nbsp;cancelCard();<br>}";"禁止所有<br>使条件满足的卡牌。";"&#10063;&#10063;";"&#9850;";
attack;条件判断;"if (varB &lt; varA) {<br>&nbsp;&nbsp;cancelCard();<br>}";"禁止所有<br>使条件满足的卡牌。";"&#10063;&#10063;";"&#9850;";
attack;条件判断;"if (varB &lt; varA) {<br>&nbsp;&nbsp;cancelCard();<br>}";"禁止所有<br>使条件满足的卡牌。";"&#10063;&#10063;";"&#9850;";
attack;条件判断;"if (varB &lt; varA) {<br>&nbsp;&nbsp;cancelCard();<br>}";"禁止所有<br>使条件满足的卡牌。";"&#10063;&#10063;";"&#9850;";
attack;内存泄漏;"if (var % 3 == 0) {<br>&nbsp;&nbsp;var = 0;<br>}";若变量的值是 3 的倍数<br>则将其重置为 0。;"&#10063;";"&#9850;";
attack;内存泄漏;"if (var % 3 == 0) {<br>&nbsp;&nbsp;var = 0;<br>}";若变量的值是 3 的倍数<br>则将其重置为 0。;"&#10063;";"&#9850;";
